,count,wins,winsPerRace,meanOdds,oddsTotal
Peter Untersteiner,1977,374,0.18917551846231664,11.16944865958523,22082
Robert Bergh,1795,341,0.18997214484679667,13.445682451253482,24135
Stefan Melander,1598,117,0.07321652065081352,33.187734668335416,53034
Svante Båth,1472,323,0.21942934782608695,11.021739130434783,16224
Jörgen Westholm,1438,198,0.1376912378303199,17.321974965229487,24909
Björn Goop,1415,279,0.1971731448763251,9.246643109540637,13084
Johan Untersteiner,1267,217,0.1712707182320442,11.031570639305446,13977
Timo Nurmos,1204,351,0.2915282392026578,6.320598006644518,7610
Jan-Olov Persson,1199,232,0.19349457881567975,13.475396163469558,16157
Harri Koivunen,1169,267,0.22840034217279725,12.599657827202737,14729
Roger Walmann,1099,98,0.08917197452229299,19.857142857142858,21823
Aleksi Kytölä,1016,52,0.051181102362204724,31.72244094488189,32230
Petri Salmela,997,100,0.10030090270812438,22.527582748244733,22460
Markku Nieminen,918,138,0.1503267973856209,16.193899782135077,14866
Joakim Lövgren,896,148,0.16517857142857142,10.887276785714286,9755
Mattias Djuse,861,122,0.14169570267131243,16.450638792102207,14164
Veijo Heiskanen,841,125,0.14863258026159334,13.651605231866824,11481
Daniel Redén,800,215,0.26875,8.29125,6633
Jim Oscarsson,795,67,0.08427672955974842,29.955974842767297,23815
Pekka Korpi,773,70,0.09055627425614489,31.08150064683053,24026
Tapio Mäki-Tulokas,765,178,0.2326797385620915,9.172549019607843,7017
Conrad Lugauer,748,197,0.26336898395721925,8.004010695187166,5987
Tapio Perttunen,743,113,0.15208613728129206,16.916554508748316,12569
Hanna Olofsson,709,68,0.09590973201692525,18.599435825105783,13187
Bella Varjonen,706,32,0.0453257790368272,31.845609065155806,22483
Lutfi Kolgjini,698,62,0.08882521489971347,17.544412607449857,12246
Jerry Riordan,688,89,0.12936046511627908,20.90261627906977,14381
Antti Ala-Rantala,651,45,0.06912442396313365,32.00153609831029,20833
Nicklas Westerholm,639,115,0.17996870109546165,10.618153364632239,6785
Peter G Norman,638,48,0.07523510971786834,23.79153605015674,15179
Ulf Stenströmer,598,64,0.10702341137123746,17.59197324414716,10520
Claes Sjöström,596,96,0.1610738255033557,17.48489932885906,10421
Jouni Miettinen,585,53,0.0905982905982906,31.541880341880344,18452
Timo Korvenheimo,576,81,0.140625,20.055555555555557,11552
Per Linderoth,576,80,0.1388888888888889,16.602430555555557,9563
Adrian Kolgjini,569,76,0.1335676625659051,15.261862917398945,8684
Tommi Kylliäinen,560,50,0.08928571428571429,18.67142857142857,10456
Fredrik Persson,556,44,0.07913669064748201,21.131294964028775,11749
Marcus Lindgren,540,65,0.12037037037037036,17.046296296296298,9205
Antti Ojanperä,531,135,0.2542372881355932,10.951035781544256,5815
Reijo Liljendahl,526,83,0.15779467680608364,14.072243346007605,7402
Thomas Jonsson,508,48,0.09448818897637795,24.108267716535433,12247
Olli Lähtinen,504,46,0.09126984126984126,23.924603174603174,12058
Eric Martinsson,498,72,0.14457831325301204,12.481927710843374,6216
Markus Pihlström,497,64,0.12877263581488935,11.599597585513079,5765
Hans Karlsson,490,35,0.07142857142857142,28.163265306122447,13800
Tomas Malmqvist,489,41,0.08384458077709611,18.791411042944784,9189
Mika Haapakangas,478,49,0.10251046025104603,30.10460251046025,14390
Olle Alsén,475,24,0.05052631578947368,34.873684210526314,16565
Juhani Partanen,460,36,0.0782608695652174,28.758695652173913,13229
Magnus Dahlén,459,101,0.22004357298474944,13.413943355119825,6157
Jevgeni Ivanov,456,18,0.039473684210526314,38.72587719298246,17659
Anders Zackrisson,455,45,0.0989010989010989,23.67912087912088,10774
Per Lennartsson,452,61,0.13495575221238937,15.006637168141593,6783
Robert Skoglund,449,53,0.11804008908685969,17.933184855233854,8052
Sofia Aronsson,439,52,0.11845102505694761,17.75626423690205,7795
Katja Melkko,439,86,0.1958997722095672,11.428246013667426,5017
Åke Lindblom,421,52,0.12351543942992874,24.35391923990499,10253
Hans R Strömberg,417,39,0.09352517985611511,21.729016786570742,9061
Peter Eriksson,411,28,0.0681265206812652,36.776155717761554,15115
Markus Porokka,409,41,0.10024449877750612,17.034229828850854,6967
Kajsa Frick,404,30,0.07425742574257425,22.242574257425744,8986
Lars I Nilsson,400,58,0.145,17.8,7120
Teemu Okkolin,398,54,0.135678391959799,20.5678391959799,8186
Juha-Matti Paavola,392,40,0.10204081632653061,25.658163265306122,10058
Stefan Arvidsson,390,33,0.08461538461538462,32.02307692307692,12489
Seppo Suuronen,388,55,0.14175257731958762,18.471649484536083,7167
Henrik Larsson,387,27,0.06976744186046512,27.392764857881136,10601
Christoffer Eriksson,381,54,0.14173228346456693,11.595800524934383,4418
Thomas Uhrberg,377,32,0.08488063660477453,19.212201591511935,7243
Hannu Hietanen,372,47,0.12634408602150538,17.438172043010752,6487
Björn Röcklinger,370,39,0.10540540540540541,17.008108108108107,6293
Pär Hedberg,370,70,0.1891891891891892,14.489189189189188,5361
Stefan Persson,362,51,0.1408839779005525,15.334254143646408,5551
Markus B Svedberg,362,51,0.1408839779005525,18.011049723756905,6520
Håkan Wallberg,359,20,0.055710306406685235,33.041782729805014,11862
Matias Salo,356,55,0.1544943820224719,13.519662921348315,4813
Marko Hakkarainen,353,48,0.1359773371104816,19.135977337110482,6755
Stefan P Pettersson,349,38,0.10888252148997135,18.249283667621775,6369
Fredrik Wallin,345,44,0.12753623188405797,17.026086956521738,5874
Henrik Svensson,344,35,0.10174418604651163,20.084302325581394,6909
Tomas Pettersson,340,40,0.11764705882352941,16.644117647058824,5659
Ola Samuelsson,339,46,0.13569321533923304,19.575221238938052,6636
Magnus Jakobsson,337,77,0.228486646884273,7.658753709198813,2581
Leif Witasp,337,16,0.04747774480712166,32.4272997032641,10928
Martin P Djuse,337,31,0.09198813056379822,19.64688427299703,6621
