,count,wins,winsPerRace,meanOdds,oddsTotal
Lorutyttö,82,6,0.07317073170731707,61.28048780487805,5025
Vinksa,76,5,0.06578947368421052,22.105263157894736,1680
Bewitch Boy,70,4,0.05714285714285714,45.9,3213
Por Nie Rock,66,7,0.10606060606060606,14.590909090909092,963
Flynn Boko (SE),66,6,0.09090909090909091,17.272727272727273,1140
Metkutus,63,7,0.1111111111111111,33.04761904761905,2082
Rapin Aatos,63,7,0.1111111111111111,43.92063492063492,2767
Alfas Finans (SE),60,3,0.05,36.333333333333336,2180
Rojaali,59,2,0.03389830508474576,22.949152542372882,1354
Temsin Tili,59,0,0.0,86.66101694915254,5113
Super Zantos* (SE),59,9,0.15254237288135594,39.42372881355932,2326
Tähtisäihke,57,1,0.017543859649122806,47.526315789473685,2709
Bret Boko (SE),56,15,0.26785714285714285,10.910714285714286,611
Hazelhen Hermes,56,8,0.14285714285714285,17.428571428571427,976
Pelipiste,56,4,0.07142857142857142,16.232142857142858,909
An-Valpuri,56,3,0.05357142857142857,38.05357142857143,2131
Langen's Cza Cza,56,3,0.05357142857142857,24.035714285714285,1346
Riipinen,55,5,0.09090909090909091,17.70909090909091,974
Tutun Impi,55,7,0.12727272727272726,25.927272727272726,1426
Pontriot,54,6,0.1111111111111111,24.333333333333332,1314
Eye Candy V.R.* (SE),53,0,0.0,58.490566037735846,3100
Expanse's Tornado,53,8,0.1509433962264151,16.452830188679247,872
Fade To Jam,53,3,0.05660377358490566,35.60377358490566,1887
Joker Photo,52,4,0.07692307692307693,40.19230769230769,2090
Cocktail Princess,52,2,0.038461538461538464,29.78846153846154,1549
Hamis Fameraiser,52,3,0.057692307692307696,25.384615384615383,1320
Zola Wind* (SE),52,3,0.057692307692307696,44.82692307692308,2331
West Wing* (SE),51,2,0.0392156862745098,47.86274509803921,2441
Taksvenla,51,2,0.0392156862745098,34.03921568627451,1736
M.T.Lara Croft* (SE),51,2,0.0392156862745098,35.76470588235294,1824
Iinan Maestro,51,1,0.0196078431372549,49.68627450980392,2534
Larvan Hurmos,51,15,0.29411764705882354,10.509803921568627,536
Rankkari,50,4,0.08,17.74,887
Meren Ritari,50,1,0.02,39.4,1970
Haras du Pin (DE),50,1,0.02,55.76,2788
Varjomanni,50,3,0.06,36.74,1837
Rokin Maxi,50,8,0.16,34.0,1700
Sagoprins Jevi* (SE),50,1,0.02,78.0,3900
Hataar The Brave,50,0,0.0,64.4,3220
Sopun Haaste,49,0,0.0,55.69387755102041,2729
Granite,49,4,0.08163265306122448,28.510204081632654,1397
Busy Doin' Nothing* (SE),49,2,0.04081632653061224,46.244897959183675,2266
Selene Lune,49,10,0.20408163265306123,14.326530612244898,702
This is Alex* (SE),49,2,0.04081632653061224,44.83673469387755,2197
Viehko Venla,49,2,0.04081632653061224,43.93877551020408,2153
Jyllätys,49,4,0.08163265306122448,15.428571428571429,756
Enriko,49,0,0.0,50.42857142857143,2471
Tulisin,49,0,0.0,30.020408163265305,1471
Wall Street Comery,49,8,0.16326530612244897,14.693877551020408,720
Nopsan Vauhti,49,4,0.08163265306122448,27.224489795918366,1334
All Ready Match,48,3,0.0625,20.75,996
Crazy Valley,48,8,0.16666666666666666,18.041666666666668,866
Sahara Rouge,48,4,0.08333333333333333,37.0,1776
Jimmy Ray,48,5,0.10416666666666667,21.041666666666668,1010
Elliot Web,48,7,0.14583333333333334,15.0625,723
Miss Golden Quick* (SE),48,4,0.08333333333333333,31.708333333333332,1522
Nopsa Palma,48,1,0.020833333333333332,50.041666666666664,2402
B. Riitu,48,1,0.020833333333333332,35.354166666666664,1697
Hilin Ihme,48,3,0.0625,35.4375,1701
Virin Eko,48,2,0.041666666666666664,44.4375,2133
Flying Duck,48,2,0.041666666666666664,42.875,2058
Sanni Sky,47,4,0.0851063829787234,28.53191489361702,1341
Calgary* (SE),47,4,0.0851063829787234,22.319148936170212,1049
Ileach C.C.* (SE),47,0,0.0,46.659574468085104,2193
Helun Kuva,47,8,0.1702127659574468,27.170212765957448,1277
Celinn Palema* (SE),47,4,0.0851063829787234,49.04255319148936,2305
Tuviker,47,7,0.14893617021276595,31.4468085106383,1478
Wall In Carlina,47,4,0.0851063829787234,20.617021276595743,969
Victor Hollow,47,0,0.0,62.46808510638298,2936
Kukan Tutu,47,6,0.1276595744680851,21.74468085106383,1022
O.F.V.Prince* (SE),46,4,0.08695652173913043,30.130434782608695,1386
Honorary Consul,46,6,0.13043478260869565,27.23913043478261,1253
Vinhatuuri,46,8,0.17391304347826086,18.26086956521739,840
Moolger* (SE),46,2,0.043478260869565216,46.130434782608695,2122
Tir Du Caux (FR),45,10,0.2222222222222222,8.755555555555556,394
Topper,45,1,0.022222222222222223,50.888888888888886,2290
Velars,45,0,0.0,46.48888888888889,2092
Duquesa,45,0,0.0,58.733333333333334,2643
Joriini,45,6,0.13333333333333333,19.8,891
Cupido Birdland,45,0,0.0,46.17777777777778,2078
Elzevier Lloyd,45,0,0.0,38.77777777777778,1745
Dalforno* (SE),45,8,0.17777777777777778,18.288888888888888,823
Jack Bowler* (SE),45,8,0.17777777777777778,19.8,891
Humu-Liisa,45,2,0.044444444444444446,48.53333333333333,2184
Menino Bonito,45,2,0.044444444444444446,20.444444444444443,920
Son of Triton* (SE),45,0,0.0,55.0,2475
Baretta Boko (SE),45,9,0.2,17.88888888888889,805
Elitloppet,45,5,0.1111111111111111,25.91111111111111,1166
War Child,45,5,0.1111111111111111,18.044444444444444,812
Kat's Commander,44,3,0.06818181818181818,20.772727272727273,914
Lemon Breezer,44,4,0.09090909090909091,28.727272727272727,1264
B. Tuuma,44,0,0.0,65.56818181818181,2885
B. Violetta,44,1,0.022727272727272728,45.61363636363637,2007
Amber Brick* (SE),44,2,0.045454545454545456,59.95454545454545,2638
Vennelmon Varma,44,10,0.22727272727272727,27.022727272727273,1189
Highway Patrolman* (SE),44,4,0.09090909090909091,18.704545454545453,823
Special Firebird* (FI),44,1,0.022727272727272728,53.52272727272727,2355
Toutre* (IT),44,9,0.20454545454545456,10.022727272727273,441
Boss Amiraal,44,2,0.045454545454545456,33.34090909090909,1467
Gullpål* (SE),44,1,0.022727272727272728,56.84090909090909,2501
Miss Senorita (SE),44,2,0.045454545454545456,25.272727272727273,1112
Darena,44,0,0.0,36.11363636363637,1589
Villiäijä,44,6,0.13636363636363635,18.818181818181817,828
Frosty Vice,44,2,0.045454545454545456,38.70454545454545,1703
Flare* (SE),44,3,0.06818181818181818,42.0,1848
Giresse Boko (SE),43,3,0.06976744186046512,24.53488372093023,1055
Che Boko* (SE),43,1,0.023255813953488372,49.81395348837209,2142
Komento,43,4,0.09302325581395349,32.2093023255814,1385
Rene Conductor,43,4,0.09302325581395349,27.86046511627907,1198
Murolii,43,1,0.023255813953488372,30.209302325581394,1299
Indian Four* (SE),43,1,0.023255813953488372,46.651162790697676,2006
Cousin Evert,43,9,0.20930232558139536,16.976744186046513,730
Il Mio Hooligan* (SE),43,0,0.0,33.06976744186046,1422
Nitro Diablo (SE),43,10,0.23255813953488372,9.720930232558139,418
Varjonova,43,1,0.023255813953488372,31.837209302325583,1369
Oiva-Sointu,43,8,0.18604651162790697,22.209302325581394,955
Ajlexes Cubano* (SE),43,10,0.23255813953488372,17.86046511627907,768
Westline* (SE),43,3,0.06976744186046512,48.0,2064
Tuiskuta,43,0,0.0,53.18604651162791,2287
Ripasso Classico,43,4,0.09302325581395349,23.11627906976744,994
Teresa Max,43,0,0.0,62.69767441860465,2696
Callaway Scoop (SE),43,3,0.06976744186046512,24.325581395348838,1046
Benon Safiro,43,1,0.023255813953488372,64.13953488372093,2758
Villieri,42,5,0.11904761904761904,20.357142857142858,855
Dream Of Celebrity,42,4,0.09523809523809523,16.023809523809526,673
Tuli-Rubiini,42,0,0.0,33.714285714285715,1416
Piskon Pouta,42,12,0.2857142857142857,8.880952380952381,373
Västerbo Jeppe* (SE),42,1,0.023809523809523808,30.595238095238095,1285
Vilma Lyydia,42,4,0.09523809523809523,22.904761904761905,962
Three Dee Nodo,42,3,0.07142857142857142,28.0,1176
Faks Nils* (SE),42,4,0.09523809523809523,52.45238095238095,2203
Taika-Tähkä,42,0,0.0,93.11904761904762,3911
Winzet,42,4,0.09523809523809523,24.30952380952381,1021
Ester Joy* (SE),42,3,0.07142857142857142,48.0,2016
